1100 68 725 0.106988 8 3616 20873 30523 38964 51220 57592 60186 75362 2055 6655 10759 4971 9118 3402 3942 15247 
2200 67 0 0.112003 8 4411 23273 31187 41315 57642 61618 56084 81716 1918 8072 12419 5930 10915 4818 4225 17778 
3300 72 0 0.139221 8 3429 27110 33984 40809 53572 62477 56506 81748 2051 7957 11340 7290 12275 5799 3892 19467 
4400 72 0 0.174337 8 1886 27845 32314 39433 56440 64953 52324 97026 1599 9071 10559 6730 14847 5986 2611 20462 
5500 80 0 0.161899 8 3966 26692 29391 42519 69769 66611 44474 97076 2415 8883 10864 7080 16939 6905 4071 21596 
6600 75 0 0.167027 8 5694 23798 27150 39119 76407 75936 38532 105416 3636 8868 10732 5021 16692 6679 3438 20520 
7700 64 0 0.190358 8 5877 26635 30447 38036 82222 80609 33780 108513 3929 10532 14219 5807 18053 6713 3879 22661 
8800 75 0 0.225232 8 6046 27803 31669 34842 94522 81738 31841 116135 4126 10649 13388 5407 17809 7667 4522 23638 
9900 81 0 0.246346 8 6415 24779 38923 29434 100462 79346 27623 120644 4360 9026 14871 5712 17122 4997 4768 24544 
11000 77 0 0.271529 8 7117 28722 43090 28451 108187 77379 25090 123979 5299 12138 16744 6594 16856 4895 3579 30315 
12100 76 0 0.295315 8 6786 28532 46161 28194 113293 69882 24747 136240 5221 11174 20246 8104 14754 5492 3242 36672 
13200 84 0 0.325733 8 7292 28038 49324 26838 120073 64706 17535 140272 5658 12302 20436 8225 12342 5243 3238 37196 
14300 81 79 0.170974 8 10141 31931 44770 25514 63494 64086 74775 140421 6769 13397 19230 7155 22607 3837 21385 37702 
15400 112 0 0.218846 8 7734 33611 53139 25307 64761 58839 76527 147736 6283 10392 20703 5582 25054 6126 22010 39387 
16500 85 0 0.226931 8 10393 33685 47528 24806 67412 49814 64682 162527 7105 11201 23167 6178 25761 6705 21418 40835 
17600 85 1 0.260911 8 8165 34576 48455 25377 73485 50031 63751 175569 5373 12471 21039 6917 27500 8194 23639 39711 
18700 111 1 0.300868 8 4778 30068 45775 23795 76021 45482 63509 187568 3585 11131 18899 4979 23328 5497 21293 38402 
19800 95 1 0.28718 8 6459 28068 43252 21836 69471 44929 65645 190144 5230 10658 18003 5122 21184 6480 19408 37447 
